Emulator Actions

Key:
 W Supported for Xt as a wrapper
 X Supported for Xt directly
 S Supported for scripting
 - Not supported

Action			x3270	c3270	wc3270	s3270	ws3270	tcl3270
-----------------------	-------	-------	-------	-------	-------	-------
Abort			-	S	S	-	-	-
AltCursor		WS	-	-	-	-	-
AnsiText		S	S	S	S	S	-
AsciiField		S	S	S	S	S	S
Ascii			S	S	S	S	S	S
Attn			WS	S	S	S	S	S
BackSpace		WS	S	S	S	S	S
BackTab			WS	S	S	S	S	S
Bell			WS	S	S	-	-	-
CircumNot		WS	S	S	S	S	S
Clear			WS	S	S	S	S	S
CloseScript		S	S	S	S	S	-
Close			S	S	S	S	S	S
Compose			WS	S	S	-	-	-
Connect			WS	S	S	S	S	S
ContinueScript		WS	S	S	S	S	-
Copy			-	-	S	-	-	-
CursorSelect		WS	S	S	S	S	S
Cut			X	-	S	-	-	-
Default			X	-	-	-	-	-
DeleteField		WS	S	S	S	S	S
Delete			WS	S	S	S	S	S
DeleteWord		WS	S	S	S	S	S
Disconnect		WS	S	S	S	S	S
Down			WS	S	S	S	S	S
Dup			WS	S	S	S	S	S
EbcdicField		S	S	S	S	S	S
Ebcdic			S	S	S	S	S	S
Enter			WS	S	S	S	S	S
EraseEOF		WS	S	S	S	S	S
EraseInput		WS	S	S	S	S	S
Erase			WS	S	S	S	S	S
Escape			-	S	S	-	-	-
Execute			WS	S	S	S	S	-
Exit			-	S	S	-	-	-
Expect			S	S	S	S	S	-
FieldEnd		WS	S	S	S	S	S
FieldMark		WS	S	S	S	S	S
Flip			WS	S	S	-	-	-
HandleMenu		X	-	-	-	-	-
Help			-	S	S	-	-	-
HexString		WS	S	S	S	S	S
Home			WS	S	S	S	S	S
ignore			S	S	S	-	-	-
Info			S	S	S	-	-	-
insert-selection	X	-	-	-	-	-
Insert			WS	S	S	S	S	S
Interrupt		WS	S	S	S	S	S
Keymap			WS	-	-	-	-	-
Keypad			-	S	S	-	-	-
Key			WS	S	S	S	S	S
KybdSelect		X	-	-	-	-	-
Left2			WS	S	S	S	S	S
Left			WS	S	S	S	S	S
Macro			WS	S	S	S	S	-
Menu			-	S	S	-	-	-
MonoCase		WS	S	S	S	S	S
MouseSelect		X	-	-	-	-	-
MoveCursor		XS	S	S	S	S	S
move-select		X	-	-	-	-	-
Newline			WS	S	S	S	S	S
NextWord		WS	S	S	S	S	S
Open			S	S	S	S	S	S
PA-ConfigureNotify	X	-	-	-	-	-
PA-Confirm		X	-	-	-	-	-
PA-dialog-focus		X	-	-	-	-	-
PA-dialog-next		X	-	-	-	-	-
PA-End			X	-	-	-	-	-
PA-EnterLeave		X	-	-	-	-	-
PA-Expose		X	-	-	-	-	-
PA-Focus		X	-	-	-	-	-
PA-GraphicsExpose 	X	-	-	-	-	-
PA-KeymapNotify		X	-	-	-	-	-
PA-KeymapTrace		X	-	-	-	-	-
PA-Shift		X	-	-	-	-	-
PA-StateChanged		X	-	-	-	-	-
Paste			-	-	S	-	-	-
PauseScript		S	S	S	S	S	-
PA-VisibilityNotify	X	-	-	-	-	-
PA			WS	S	S	S	S	S
PA-WMProtocols		X	-	-	-	-	-
PF			WS	S	S	S	S	S
PreviousWord		WS	S	S	S	S	S
Printer			WS	S	S	-	-	-
PrintText		WS	S	S	S	S	S
PrintWindow		WS	-	-	-	-	-
Query			S	S	S	S	S	S
Quit			WS	S	S	S	S	S
ReadBuffer		S	S	S	S	S	S
Reconnect		WS	S	S	-	-	-
Redraw			X	S	S	-	-	-
Reset			WS	S	S	S	S	S
Right2			WS	S	S	S	S	S
Right			WS	S	S	S	S	S
Script			WS	S	S	S	S	-
ScreenTrace		-	S	S	-	-	-
Scroll			WS	S	S	-	-	-
SelectAll		X	-	-	-	-	-
SelectDown		X	-	-	-	-	-
select-end		X	-	-	-	-	-
select-extend		X	-	-	-	-	-
SelectMotion		X	-	-	-	-	-
select-start		X	-	-	-	-	-
SelectUp		X	-	-	-	-	-
SetFont			WS	-	-	-	-	-
set-select		X	-	-	-	-	-
Show			-	S	S	-	-	-
Snap			S	S	S	S	S	S
Source			WS	S	S	S	S	-
start-extend		X	-	-	-	-	-
Status			-	-	-	-	-	S
String			WS	S	S	S	S	S
SysReq			WS	S	S	S	S	S
Tab			WS	S	S	S	S	S
TemporaryKeymap		WS	-	-	-	-	-
Title			WS	-	S	-	-	-
ToggleInsert		WS	S	S	S	S	S
ToggleReverse		WS	S	S	S	S	S
Toggle			WS	S	S	S	S	S
Trace			-	S	S	-	-	-
Transfer		WS	S	S	S	S	S
Unselect		X	-	-	-	-	-
Up			WS	S	S	S	S	S
Wait			WS	S	S	S	S	S
WindowState		WS	-	-	-	-	-
